team,season,abbreviation,w,playoffs,Team_Season,Total_Salary,Mean_Salary,Median_Salary,STD_Salary
Los Angeles Lakers,2016,LAL,17.0,False,LAL-2016,73665676,4092537.5555555555,1068474.0,6404770.918658686
Memphis Grizzlies,2016,MEM,42.0,True,MEM-2016,94825502,4310250.090909091,2856482.5,4775720.760579813
Miami Heat,2016,MIA,48.0,True,MIA-2016,84724533,5648302.2,1100602.0,7495479.801641007
Milwaukee Bucks,2016,MIL,33.0,False,MIL-2016,72673401,3824915.8421052634,1953960.0,4620334.866928398
Minnesota Timberwolves,2016,MIN,29.0,False,MIN-2016,60656973,4332640.928571428,2102640.0,4094839.7153875823
New Orleans Pelicans,2016,NOP,30.0,False,NOP-2016,87932770,4396638.5,2444103.0,4411903.294386311
New York Knicks,2016,NYK,32.0,False,NYK-2016,75483698,4193538.777777778,1636159.0,5701854.296077688
Oklahoma City Thunder,2016,OKC,55.0,True,OKC-2016,97060625,5709448.529411765,3135000.0,6407492.919835848
Orlando Magic,2016,ORL,35.0,False,ORL-2016,84941368,4718964.888888889,3956580.0,4225244.023492578
Philadelphia 76ers,2016,PHI,10.0,False,PHI-2016,44886505,2362447.6315789474,1000000.0,2582691.7221702416
Portland Trail Blazers,2016,POR,44.0,True,POR-2016,57761713,3397747.8235294116,2637720.0,2995983.7554380456
Sacramento Kings,2016,SAC,33.0,False,SAC-2016,72528725,4533045.3125,2996393.0,4647608.039882189
San Antonio Spurs,2016,SAS,67.0,True,SAS-2016,89617091,4978727.277777778,2156593.5,6015223.473795444
Toronto Raptors,2016,TOR,56.0,True,TOR-2016,75339980,4185554.4444444445,2782000.0,4037035.0687488485
Utah Jazz,2016,UTA,40.0,False,UTA-2016,60751941,3573643.588235294,2050000.0,4431385.662509247
Washington Wizards,2016,WAS,41.0,False,WAS-2016,81467636,4525979.777777778,2735232.5,4609527.47487856
Atlanta Hawks,2015,ATL,60.0,True,ATL-2015,57182724,4084480.285714286,2437894.0,3495342.191743033
Boston Celtics,2015,BOS,40.0,True,BOS-2015,41359670,3446639.1666666665,2082880.0,2987377.4465815583
Chicago Bulls,2015,CHI,50.0,True,CHI-2015,82557980,4856351.764705882,2277960.0,5344245.845554422
Cleveland Cavaliers,2015,CLE,53.0,True,CLE-2015,88401818,6314415.571428572,2472834.0,7482463.912634371
Dallas Mavericks,2015,DAL,50.0,True,DAL-2015,90892059,4544602.95,931703.0,5533308.951271434
Denver Nuggets,2015,DEN,30.0,False,DEN-2015,57074915,4076779.6428571427,2866000.0,3495910.8521837476
Detroit Pistons,2015,DET,32.0,False,DET-2015,43963633,3140259.5,2670420.0,2307239.157667474
Golden State Warriors,2015,GSW,67.0,True,GSW-2015,89959574,4734714.421052632,1145685.0,5406621.96769278
Houston Rockets,2015,HOU,56.0,True,HOU-2015,102160244,6385015.25,1847840.0,7508821.20698738
Indiana Pacers,2015,IND,38.0,False,IND-2015,74810552,4987370.133333334,3135000.0,5265339.8298761835
